German	जर्मन
billion	अर्ब
officials	अधिकारीहरु
methods	विधि पनि
necessary	पनि आवश्यक
why	तर पनि किन
investigation	छानबिन
Force	फोर्स
violence	पनि हिंसा
55	४०
employees	कर्मचारीहरु
patients	बिरामीहरुले
quite	पनि एकदमै
passengers	यात्रु
really	तर मलाई त
accident	दुर्घटना
manufacturing	उत्पादन
documents	कागजात
designs	डिजाइन
accused	आरोप
testing	परीक्षण पनि
worker	श्रमिक
questions	प्रश्न पनि
strategy	रणनीति
actors	कलाकारले पनि
behavior	व्यवहार पनि
honour	सम्मान
surgery	शल्यक्रिया
rescue	उद्धार
suicide	आत्महत्या
L	बन्छौं
safe	सुरक्षित
criticism	आलोचना पनि
victims	पनि पीडित
phone	पनि फोन
praised	तारिफ
appointment	नियुक्ति
talent	प्रतिभाको
coalition	गठबन्धन र
rates	दर पनि
revenue	राजस्व
filed	दायर
Champions	लिगको
spiritual	आध्यात्मिक
technologies	प्रविधिको
illegal	अवैध
regulations	ऐनमा
manner	तरिकाले
involvement	पनि संलग्नता
concern	चिन्ता पनि
electricity	बिजुली
athletes	खेलाडीको
merger	मर्ज
desire	चाहना पनि
Party	समाजवादी पार्टी र
advice	पनि सल्लाह
implementation	पनि कार्यान्वयन
crimes	अपराधमा
practical	व्यावहारिक
opponent	विपक्षीलाई
constitutional	पनि संवैधानिक
03	ए र
fun	पनि रमाइलो
na	चलाउनेको
implemented	पनि लागू
dispute	पनि विवाद
flights	उडान
WOMEN	प्रतियोगिताको महिला
Delhi	भारतको दिल्ली
telephone	टेलिफोन
diplomatic	कूटनीतिक
corruption	पनि भ्रष्टाचार
journalism	पत्रकारिता
programmes	कार्यक्रम पनि
correct	पनि सही
narrative	कथा पनि
marry	पनि बिहे
expensive	पनि महँगो
permission	स्वीकृति
resignation	राजिनामा
dollars	डलर
parking	पार्किङ
organisations	संघसंस्थालाई
Ambassador	राजदूत
prices	मूल्यमा पनि
employee	कर्मचारी
negotiations	वार्ताको
relevant	पनि विषय
photo	फोटो
oh	‘खै
favour	पक्षमा पनि
Business	बिजनेस
reducing	घटाउन
Allan	सुदिप
impossible	असम्भव नै
taxes	पनि कर
difficulties	कठिनाइ
relating	सम्बन्धी
payment	पनि भुक्तानी
helicopter	हेलिकोप्टर
airline	एयरलाइन्स
certificate	प्रमाणपत्र
readers	पाठकहरुलाई
reader	पाठकलाई
sustainable	र दिगो
journalists	पत्रकारहरु
generations	पुस्ता र
assessment	मूल्यांकन
surgeon	डाक्टर
psychological	मनोवैज्ञानिक
drink	रक्सी
efficient	पनि प्रभावकारी
consistent	पनि स्पष्ट
700	३००
citizenship	पनि नागरिकता
amounts	मात्रामा
registration	रजिस्ट्रेसन
oxygen	अक्सिजनको
Youtube	युट्युब
interesting	पनि रोचक
discrimination	पनि विभेद
mph	प्रतिघण्टाको
provisions	प्रावधान पनि
divorce	पारपाचुके
suddenly	तर अचानक
Text	मू
monitoring	पनि निगरानी
Feet	फिट
celebrity	सेलिब्रेटी
divine	ईश्वरको
provision	व्यवस्था पनि
terrorist	आतंकवादी
civilians	सुरक्षाकर्मीहरुले
sending	पठाएर
inches	सेन्टिमिटर
suspected	आशंकामा
compensation	क्षतिपूर्ति
infection	संक्रमण
investors	लगानीकर्ताहरु
Bar	बार र
referendum	संसदले
HIV	एचआईभी
repeatedly	पनि पटकपटक
topic	विषयमा पनि कुरा
fraud	ठगी
activists	अधिकारकर्मीहरु
personally	आफूले पनि
app	एप
fees	शुल्क पनि
hotels	होटल
Google	गुगल
essay	आलेख
hindi	हिन्दी
imprisonment	जेल
lease	लिजमा
easier	पनि सजिलो
poets	साहित्यकारहरुले
pregnant	गर्भवती
conversation	पनि कुराकानी
stronger	पनि बलियो
Zhang	वाङ
clothes	लुगा
moments	क्षण
hitting	हिर्काए
bicycle	साइकल
proposals	योजनाहरु
dressed	पहिरनमा
economist	अर्थशास्त्री
consumers	उपभोक्ताले
pollution	प्रदूषण
incidents	घटना पनि
discussions	पनि छलफल
investments	लगानी
loyal	बफादार
Pakistani	पाकिस्तानी
News	न्यूज
tickets	टिकटको
Leader	र विजय
capability	क्षमता पनि
payments	रकम भुक्तानी
responsibilities	जिम्मेवारी पनि
achieving	पनि हासिल
Cecil	हरी
sleeping	सुत्ने
listening	पनि सुन्न
sings	गाएको
flowing	बग्ने
Authority	गेजुवालाई
Jenkins	विक
innocent	निर्दोष
websites	वेबसाइट
rehabilitation	पुनस्र्थापना
Communications	कम्युनिकेशन
verses	श्लोक
reliable	भरपर्दो
viewing	हेर्न
necessarily	पनि होइन तर
recommendations	कार्ययोजना
preventing	रोक्ने
translations	अनुवाद
rulers	राजाहरू
hanging	झुन्ड्याएर
attractive	पनि आकर्षक
Ludwig	भट्टराईको
Phillip	उमेश
Tournament	प्रतियोगिताको
skilled	दक्ष
arguments	तर्क पनि
Facebook	पनि फेसबुक
def	आइकन
buying	किन्ने
responses	प्रतिक्रियाहरू
speeds	स्पिडमा
staying	पनि भेट्न
Embassy	दुतावास
comment	टिप्पणी पनि
Benedict	कोईराला
proven	साबित
tears	आँशु
smoking	धूमपान
barn	गोठ
talented	प्रतिभाशाली
complicated	जटिल
testimony	बयान
Mann	गिरी
teenager	सानै
hiding	लुक्न
luck	भाग्य
Technical	टेक्निकल
intensive	सघन
organisms	जीवको
damages	नोक्सानी
Gandhi	गान्धी
Georg	ढकालको
regulated	नियन्त्रित
risks	जोखिम पनि
secretly	सुटुक्क
Wong	निमा
fake	पनि नक्कली
Travis	रबिन
beings	मनुष्य
excessive	अनावश्यक
expenses	रकम खर्च
Voivodeship	एकको खरिददर ३
reasonable	कानुनसम्मत
liked	मनपर्ने
expectations	अपेक्षा पनि
Calcutta	कलकत्ता
refugee	शरणार्थी
adequate	पनि पर्याप्त
profits	मुनाफा
infected	संक्रमित
170	सय
cement	सिमेन्ट
email	इमेल
Plaza	प्लाजा
proud	गर्व
Fischer	गौतमको
compliance	परिपालना
Jung	पोखरेलको
PA	2070
qualities	गुण र
nobody	त मैले पनि
peaks	हिमालहरु
violations	उल्लंघन
Gerard	चेतबहादुर
displaced	विस्थापित
rope	डोरी
Angelo	कुलदीप
ideology	विचारधारा
destinations	गन्तव्यमा
resistant	प्रतिरोधक
complaint	भन्दै उजुरी
tasked	खटाएका
purchasing	खरिद
Lankan	श्रीलंकाली
ambitious	महत्वाकांक्षी
inmates	कैदी
din	लम्साललाई
Marvin	सुजन
protective	सुरक्षात्मक
Darren	सुमित
replied	भनेर भनेका
borrowed	सापटी
automated	स्वचालित
Krishna	रामको
defendant	प्रतिवादीको
Evan	र मनोज
listeners	स्रोताले
criminals	अपराधी
phones	पनि मोबाइल
addressing	समस्यालाई
https	सर्वाधिकार
Special	स्पेशल
screens	स्क्रिनमा
Sigma	मानन्धरलाई
advertisements	विज्ञापनमा
accreditation	काउन्सिलले
finalists	प्रतियोगी
neighbors	छिमेकीहरु
Olivia	मनिषा
fiber	फाइबर
Vince	बिमल
Sheridan	बेरी
attitudes	व्यवहारलाई
ambulance	एम्बुलेन्समा
nurses	स्वास्थ्यकर्मीहरु
dances	नाच्ने
contractor	ठेकेदार
speeches	भाषण
workforce	जनशक्तिको
neighbor	छिमेकीले
delays	ढिलाइ
exports	निर्यात
candy	चकलेट
pending	विचाराधिन
affordable	सर्वसुलभ
Wolfgang	बरालको
implementing	कार्ययोजनालाई
Hale	पउल
liability	दायित्वको
hydraulic	हाइड्रोलिक
inflation	मुद्रास्फीति
Rupert	राजबहादुर
permits	पनि अनुमति
photograph	तस्वीर
judged	ठहरिएका
gasoline	डिजेल
balanced	र सन्तुलित
corrupt	भ्रष्ट
analyst	विश्लेषक
smile	मुस्कान
cliffs	पहाडहरु
tenants	सटर
Truman	ओबामाको
creativity	सिर्जनात्मक
Beethoven	पलेँटी
examinations	परीक्षामा
gravel	ग्राभेल
meditation	ध्यानको
scholarships	छात्रवृत्तिको
stealing	चोरेको
muscles	मांसपेशी
censorship	प्रेसमाथि
Cyril	जगदीश
investigators	अनुसन्धानमा
atoms	अणु
Trust	प्रवद्र्धक
qualifications	योग्यता
licenses	लाइसेन्स
adverse	प्रतिकूल
Doris	भईन्
para	बेदुराम
unconscious	बेहोस
Free	अाजकाे
transparent	पारदर्शी
yoga	योगा
devotion	समर्पण
amendments	पनि संशोधन
tissues	शरीरको
judiciary	र संसदीय
tuition	विद्यार्थीबाट
Schwartz	बराल र
breath	स्वास
summoned	बोलाएका
workplace	कार्यस्थलमा
noon	बिहानको
heroic	योद्धाको
Hector	जैशी
Fritz	गैरे र
Finals	गोलकर्ता
picking	टिपेर
socialism	समाजवाद
harassment	दुव्र्यवहार
Plantation	र गोदावरी
respiratory	श्वासप्रश्वासमा
feathers	प्वाँख
satirical	हास्यव्यंग्य
Level	‘सी’
everywhere	जताततै
touched	छुँदा
Survey	सर्भे
Emil	र विक्रम
juice	कागती
motivation	उत्प्रेरणा
possibilities	सम्भावनाहरू
attracting	पनि आकर्षित
charging	नचलाउन
Dante	मनु
Liam	रोहन
positively	पनि सकारात्मक
definitions	परिभाषा
Reds	सन्दीपलाई
resume	नै समाप्त
packaging	प्याकेजिङ
ideals	आदर्शलाई
Lars	राईसँग
jewelry	गरगहना
Beatrice	समूहकी
endowment	अक्षयकोषको
expressions	भाव र
watches	घडी
By	२०औं
unlimited	असीमित
productivity	उत्पादकत्व
GROUP	more
failures	असफलता
Elite	एलिट
diagnostic	चिकित्सकीय
pigs	सुँगुर
cooked	खाना पकाएर
Desmond	कर्ण र
Mcgill	र त्रिभुवन
overs	इनिङ
Alexandre	बाराका
halted	पनि ठप्प
Jessie	एलिसा
exchanged	आफूसँग
shortage	पनि अभाव
sanctions	इरानमाथि
XVI	गिरिजाप्रसाद
lip	ओठको
dismissal	बर्खास्त
alternatives	विकल्पहरु
habits	खानपान
monopoly	एकाधिकार
prolonged	निरन्तरको
mu	मण्डलको
premium	प्रिमियम
GPS	जीपीएस
marijuana	गाँजा
Amos	रुपक
veterinary	पशु स्वास्थ्य
migrants	आप्रवासीहरु
unprecedented	अभूतपूर्व
mao	र प्रचण्डको
shareholder	कम्पनीका
wetlands	सिमसार
bankrupt	टाट
Student	छात्र
cables	तार
bilateral	र द्विपक्षीय
clashes	झडपका
washed	पानीले
unstable	अस्थिर
constable	सिडियो
foreigners	विदेशीहरु
casual	मेन्टेन
medication	औषधी
enthusiasm	लगाव
sacks	सेर
137	६१
disappointed	पनि निराश
kidnapping	अपहरण
Auxiliary	विभागिय
pizza	पिज्जा
deposed	अपदस्थ
hymns	भजन
presentations	अन्तरक्रियात्मक
unpublished	अप्रकाशित
Amherst	पुल्चोक
differing	फरक–फरक
rains	असिना
butter	दही
dug	खनेर
unite	एकजुट
tense	इतिहासबाट
capitalism	पुँजीवाद
catching	समात्न
mistakes	पनि गल्ती
applicants	कलेजहरूले
flexibility	सहजता र
worried	पनि चिन्तित
Exhibition	प्रदर्शनी र
Vale	जीतपुर
accelerated	र तीव्र
copied	हुबहु
defendants	प्रतिवादीलाई
Hayden	रोय
satisfaction	सन्तुष्टि
bottles	बोतल
counseling	काउन्सिलिङ
Mae	नविना
satire	व्यङ्ग्य
STATE	धनुषा र
bail	धरौटीमा
Safety	पनि टुंगो
corpse	लाश
DISTRICT	धनुषा क्षेत्र
Shri	सिद्धार्थनगर
loads	लोड
nude	नग्न
hazardous	जोखिमयुक्त
obviously	तर त्यो पनि
Pearce	एलेक्स
laugh	हाँस्न
businessmen	उद्योगी र
hatred	घृणा र
sunlight	सूर्यको
portray	पात्रका
forensic	फरेन्सिक
deed	तमसुक
harmful	हानिकारक
nuns	आश्रममा
cents	रूपियाँ
commitments	शर्तहरु
donors	दाताहरुले
illegally	अवैधरुपमा
Hercules	अग्नि
Transit	बसपार्कको
ministerial	सचिवालय र
indirectly	र अप्रत्यक्ष
maturity	परिपक्वता
thickness	मोटाइ
confiscated	जफत
kicks	दौडन
Representatives	प्रतिनिधिहरु
lenses	लेन्स
coding	तहगत
Operations	असोजदेखि
broadcasters	मिडिया पनि
seminar	कार्यशाला
lobbying	कारबाहीलाई
flavor	स्वाद
ambition	महत्वाकांक्षा
analysts	विश्लेषकले
desirable	पनि उपयुक्त
searches	पनि खोजी
TD	डीपी
ideological	र वैचारिक
pleased	पनि खुशी
Rufus	बिबेक
quotes	कमेन्टमा
EARL	लिये
superseded	विस्थापन
disasters	विपत्ति
sympathy	सहानुभूति
prosperous	र समृद्ध
bizarre	विचित्रको
amenities	सुविधासम्पन्न
Holloway	मल्लिक
Industries	इन्डस्ट्रिज
inequality	असमानता र
confident	आत्मविश्वासी
tires	टायर
accountant	एकाउन्टेन्ट
click	तपाईँले
Command	कमाण्ड
ang	नेम्वाङको
interventions	उपायहरू
Underground	मेट्रो
apology	स्पष्टिकरण
Merlin	असिम
lbs	केजीको
potatoes	केरा
roadway	सडकको
ja	मिश्रको
cyber	साइबर
convened	भेलामा
unbeaten	अविजित
imports	पनि आयात
migrant	आप्रवासी
Jeremiah	र अभिषेक
attendees	सहभागीहरु
clown	जोकर
Terence	महेश
connectivity	कनेक्टिभिटी
instability	अस्थिरता र
Housing	र आवास
Lenin	लेनिनको
unemployed	बेरोजगार
advocating	र अधिकारलाई
broadband	इन्टरनेट
prosecutors	अभियुक्तहरुलाई
kumar	कुमारले
washing	धुने
raped	बलात्कारमा
requesting	पत्राचार
decreases	बढाउँछ
priorities	कार्ययोजनाको
infinity	करो
sewage	ढल
accountability	जवाफदेहिता
Addison	केशवराज
insights	पक्षबारे
SK	पोखरेलसँग
fuels	इन्धनको
bamboo	बाँस
fireworks	पटका
imaginary	यौटा
Motor	ट्रेडर्स
thieves	चोर
choi	तामाङको
landlord	साहु
lawsuits	कम्पनीमाथि
Transportation	ट्रान्सपोर्ट
painful	पीडादायी
Constable	प्रभाकर
collided	ठोक्किएको
policing	सुव्यवस्था
sediment	पानीको सतह
Willem	कमल थापाको
Educational	एजुकेशन
Bartholomew	नरसिंह
contaminated	दूषित
Aubrey	सुरेश
youths	युवाहरू
crying	रुने
Concord	बनेपामा
yahoo	टि्वटर
Column	स्तम्भ
cigarettes	चुरोट
smuggling	तस्करी
Lillian	र दीपा
medicines	औषधि पनि
unpopular	अलोकप्रिय
sociologist	समाजशास्त्री
tails	पुच्छर
Superman	पल र
skies	आकाशमा
espionage	जासुसी
157	६७
Tourism	र पर्यटन
contender	नै निर्णायक
ecosystems	पर्यावरण
heroin	लागुपदार्थ
dangers	खतरा पनि
resonance	तरङ्ग
prostitute	युवती
Cass	भिमदत्त
gesture	अंकमाल
Carleton	र ललितपुरका
Kathryn	संस्थाकी
inventions	आविष्कार
deteriorated	बिग्रिएको
glaciers	हिमनदी
tattoo	ट्याटु
dare	भन्
Hazel	बेली
lam	मादेन
salaries	तलब पनि
Maureen	जेनिफर
aristocratic	सम्भ्रान्त
multinational	बहुराष्ट्रिय
urdu	उर्दु
confidential	गोप्य
dependence	निर्भरता
mayors	जनप्रतिनिधिहरु
sainte	बाजुरामा
prepares	“अब
bandwidth	ब्यान्डविथ
Coordinator	कोअर्डिनेटर
Putin	पुटिन
evolving	र गतिशील
Miss	र मिस
cows	राँगा
Ulrich	काफ्लेलाई
lookout	चिसापानी
fairs	मेलामा
upward	माथितिर
fixing	फिक्सिङ
poster	पोस्टर
wandering	डुल्ने
chased	भागे
Newmarket	काठमाडौँका
inflammation	जोर्नी
manually	मेसिनमा
morale	मनोवल
Stark	र किरण
auditions	अडिसन
Terrace	महेन्द्रपुल
hauled	जीपमा
Staten	बानेश्वरको
narratives	कथाहरू
Investment	इन्भेष्टमेण्ट
paramilitary	र सशस्त्र
stakeholders	सरोकारवालाहरुलाई
Ace	बडि
sai	पनेरुले
subsidies	इन्धनमा
asleep	निदाउन
thriving	फस्टाउँदै
gossip	गसिप
experimented	बनाइरहेका
trusts	खारेजीमा
Hernández	डिएगो
dreaming	कल्पनामा
pulls	पुलुक्क
drowning	डुबेर
Criminal	ब्यूरोको
policemen	प्रहरीहरु
Erwin	सतिश
schedules	समय तालिका
rewards	मानसम्मान
gatherings	भेला
Vision	भिजन र
nails	डण्डी
refueling	अवतरण
Gerhard	डिल्लीराम
boating	जलयात्रा
manifesto	घोषणापत्रको
filters	उपकरणहरू
rallies	र्याली
fines	जरिवाना
provoked	उक्साएको
secession	मधेशलाई
purity	शुद्धता
WEST	नं ५ र
Seal	शि
ineffective	पनि कमजोर
beverages	पेय
ken	योञ्जनले
synonymous	पर्यायवाची
nomadic	फिरन्ते
Intelligence	इन्टेलिजेन्स
orchards	जमिनमा
scripture	धर्मशास्त्र
disagreed	पनि समर्थन
Chico	धरानका
doo	यो दुनियाँमा
technicians	प्राविधिकहरु
Chinatown	स्ट्रिट
poultry	कुखुरा
bakery	बेकरी
leaning	हल्लाउने
oppression	अत्याचार र
TITLED	नेपाल’
kilometer	दूरीमा
Elgin	कैलालीले
trait	मान्छेमा
potent	तेजिलो
intervene	अप्ठेरोमा
clocks	घडीको
Mcleod	स्कट
devotees	भक्तजनहरुको
empowerment	सशक्तीकरण
toilets	शौचालय
Kaye	परियार र
med	ं
climbs	उक्लन
compassion	दया र
competence	सक्षमता
viva	प्रालीको
sar	थन्किएको
twenty20	टी–२० क्रिकेट
Claremont	ललितपुरले
Granville	लेखनाथ
Intercollegiate	एकेडेमीले
pistols	खुकुरी
clerical	करारका
Ngos	र दातृ
revoked	खारेज
prostitutes	यौनकर्मी
EURO	युरोकप
Hume	सुनसरीले
philanthropic	परोपकारी
dragged	घिसार्दै
predictions	भविष्यवाणी
Mps	सभासदहरुले
excelled	पनि अब्बल
turmoil	अस्थिरता
flattened	चुच्चो
authorization	मन्त्रिपरिषद्ले निर्णय
sorrow	वेदना
Josiah	भक्तबहादुर
costing	लागतमा
drying	सुकाउने
Dolores	देबी
memorials	स्मारकमा
outdoors	घरबाहिर
wakes	त्यत्तिकैमा
Calvert	शाही र
waterfalls	खोलानाला
Olaf	मास्केको
abducted	अपहरणमा
