eight	අට
hot	රස්නෙ
hotel	හෝටලය
hour	පැය
hours	පැය
husband	පුරුෂයා
ice	අයිස්
key	යතුර
know	දන්නවා
letter	අකුර
library	පුස්තකාලය
look	බලනවා
machine	යන්ත්රය
mile	සැතපුම්
miles	සැතපුම්
minute	මිනිත්තුව
firm	සමාගමය
mi	මැ
era	යුගය
minutes	මිනිත්තු
metres	මීටර්
mm	මිමී
iron	යකඩ
score	විස්ස
Netherlands	නෙදර්ලන්තය
Poland	පෝලන්තය
Spain	ස්පාඤ්ඤය
sun	ඉර
sister	නංගි
nation	රාජ්යය
month	මාසය
morning	පාන්දර
mountain	කන්ද
newspaper	පත්තරේ
paper	කඩදාසි
page	පිටුව
pay	ගෙවනවා
peace	සාමය
prison	සිරගෙදර
silver	රජත
sixth	හයවෙනි
specific	නිශ්චිත
nature	සොබාදහම
stone	ගල
Scotland	ස්කොට්ලන්තය
twenty	විස්ස
fish	මාළුවා
word	වචනය
Sweden	ස්වීඩනය
crime	අපරාධය
memory	මතක
wing	පක්ෂය
sport	ක්රීඩා
teacher	ගුරුතුමා
technical	තාක්ෂණික
thought	කල්පනා
train	දුම්රිය
tree	ගස
yellow	කහ
voice	කෑ
your	ඔයාගේ
wood	වනය
weeks	සති
tower	බලකොටුව
cancer	කටක
Valley	මිටියාවත
Wales	වේල්සය
Adam	ආදම්
adult	වැඩිහිටියා
bad	නරක
dog	සුනඛයා
bird	කුරුල්ලා
Argentina	ආර්ජෙන්ටිනාව
Austria	ඔස්ට්‍රියාව
Christ	ක්රිස්තුස්
Christmas	නත්තලක්
Denmark	ඩෙන්මාර්කය
Korean	කොරියානු
Portuguese	පෘතුගීසි
address	ලිපිනය
animal	සතා
baby	බබා
beautiful	ලස්සන
boat	බෝට්ටුව
bring	ගෙනෙනවා
card	කාඩ්
chair	පුටුව
cold	සීතල
count	ගණිනවා
die	මැරෙනවා
door	දොර
translation	පරිවර්තනය
Belgium	බෙල්ජියම
Turkish	තුර්කි
degrees	අංශක
centuries	සියවස
brain	මොළයේ
crown	ඔටුන්න
Bishop	දේවගැති
hundred	සියය
Moscow	මොස්කව්
Egypt	ඊජිප්තුව
Greece	ග්‍රීසිය
Muslim	මුස්ලිම්
enemy	සතුරා
engineer	මැවිසුරු
eye	ඇස
factory	කර්මාන්තශාලාව
hope	බලාපොරොත්තුව
independence	ස්වාධීනත්වය
kill	මරනවා
Kingdom	රාජ්යය
foot	කකුල
evening	සවස
Iraq	ඉරාකය
Jordan	ජෝර්දානය
Malaysia	මැලේසියාව
feet	අඩි
eyes	ඇස්
Norway	නෝර්වේ
Pakistan	පාකිස්තානය
Philippines	පිලිපීනය
Saturday	සෙනසුරාදා
Sunday	ඉරිදා
Switzerland	ස්විස්ටර්ලන්තය
picture	පින්තූරය
Queen	අගමෙහෙසිය
question	ප්රශ්නය
read	කියවනවා
restaurant	අවන්හල
say	කියනවා
seventh	හත්වැනි
sky	අහස
soccer	පාපන්දුව
soul	ආත්මය
table	මේසය
southwest	නිරිත
Singapore	සිංගප්පූරුව
quarter	කාර්තුව
seconds	තත්පර
revolution	පරිභ්‍රමණය
princess	කුමාරිකාව
runner	දුවන්නා
ring	මුදුව
planet	ග්‍රහය
steel	වානේ
thirty	තිහ
twelve	දොළහ
Ukraine	යුක්රේනය
Vietnam	වියට්නාමය
religion	ආගම
tennis	ටෙනිස්
think	හිතනවා
user	පරිශීලක
weather	කාලගුණය
why	ඇයි
wind	හුළඟ
write	ලියනවා
yards	යාර
cat	පූසා
Afghanistan	ඇෆ්ගනිස්ථානය
Bangladesh	බංග්ලාදේශය
Beijing	බෙයිජිං
arm	අත
bear	වලසා
bit	බීට්
brick	ගඩොල්
buy	ගන්නවා
camera	කැමරාව
cinema	සිනමාව
citizen	පුරවැසියා
democracy	ප්රජාතන්ත්රවාදය
desert	කාන්තාර
document	ඔප්පුව
easy	ලේසි
Fox	නරියා
Welsh	වේල්ස්
Finnish	ෆින්ලන්ත
Hungarian	හන්ගේරියානු
Ukrainian	යුක්රේනියානු
bomb	බෝම්බය
bell	සීනුව
drop	බිංදුව
eleven	එකොළහ
Friday	සිකුරාදා
mathematics	ගණිතය
Finland	ෆින්ලන්තය
Indonesia	ඉන්දුනීසියාව
Jerusalem	ජෙරුසලම
eighth	අටවැනි
evil	දුෂ්ට
evolution	පරිණාමය
feel	දැනෙනවා
gay	සමරිසි
hair	කොඳ
hero	වීරයා
ill	අසනීප
learn	ඉගෙනගන්නවා
leg	කකුල
map	සිතියම
mouth	කට
ninth	නවවැනි
ocean	සාගරය
orange	දොඩම්
palace	මාලිගය
parent	මව්පිය
lane	මාවත
Hungary	හන්ගේරියාව
jersey	ජර්සි
Nigeria	නයිජීරියාව
meters	මීටර්
metro	මෙට්‍රො
thousand	දහස
rain	වැස්ස
sugar	සීනි
Peru	පේරු
Portugal	පෘතුගාලය
Romania	රුමේනියාව
Taiwan	තායිවානය
Thailand	තායිලන්තය
uncle	මාමා
pick	කටුව
poem	කවිය
rice	වී
sell	විකුණනවා
shore	වෙරළ
skin	හම
snow	හිම
soldier	සොල්දාදුවා
stream	දොළ
submarine	සබ්මැරීනය
tail	අවර
universe	විශ්වය
thing	දෙය
satellite	චන්ද්‍රිකාව
trophy	කුසලානය
speaker	ස්පීකරය
truth	සත්‍යය
agriculture	කෘෂිකර්මය
electricity	විද්යුතය
fear	බය
pain	වේදනාව
salt	ලුණු
wave	රැල්ල
wheel	රෝදය
window	ජනේලය
wine	වයින්
worker	වැඩකාරයා
Jan	ජන
violin	වයලීනය
advice	අවවාදය
Arabic	අරාබි
Azerbaijan	අසර්බයිජානය
her	ඇය
than	වඩා
against	එරෙහිව
service	සේවාව
died	මිය
children	දරුවන්
because	නිසා
English	ඉංග්‍රීසි
members	සාමාජිකයන්
women	කාන්තාවන්
students	සිසුන්
land	ඉඩම්
political	දේශපාලන
support	සහයෝගය
military	හමුදා
currently	දැනට
though	නමුත්
songs	ගීත
character	චරිතය
information	තොරතුරු
training	පුහුණුව
completed	නිම
study	අධ්‍යයනය
news	ප්‍රවෘත්තියක්
rights	අයිතිවාසිකම්
organization	සංවිධානයක්
films	චිත්‍රපට
countries	රටවල්
medical	වෛද්‍ය
data	දත්ත
leader	නායකයා
approximately	පමණ
sent	එවන
writing	ලිවීම
person	පුද්ගලයා
successful	සාර්ථක
Catholic	කතෝලික
awards	සම්මාන
officer	නිලධාරියෙකු
companies	සමාගම්
possible	හැකි
girl	කොල්ලා
religious	ආගමික
legal	නීතිමය
commission	කොමිසම
Minister	අගමැති
victory	ජයග්‍රහණය
characters	චරිත
God	දෙවියන්
presented	ඉදිරිපත්
cost	වියදම
experience	අත්දැකීම්
marriage	විවාහය
parents	දෙමාපියන්
results	ප්‍රතිඵල
relationship	සම්බන්ධය
Jr	ජූනියර්
oil	තෙල්
problems	ගැටලු
quality	ගුණාත්මක
80	60
vote	ඡන්දය
discovered	සොයාගෙන
literature	සාහිත්‍යය
value	වටිනාකම
words	වචන
girls	ළමයි
stop	නවත්වන්නේ
workers	කම්කරුවන්
scientific	විද්‍යාත්මක
idea	අදහස
officers	නිලධාරීන්
concert	ප්‍රසංගය
percent	සියයට
keep	තියාගන්න
soldiers	සෙබළුන්
destroyed	විනාශ
politics	දේශපාලනය
ability	හැකියාව
analysis	විශ්ලේෂණය
saying	කිව්ව නම්
journalist	මාධ්‍යවේදියෙක්
teaching	ඉගැන්වීම
organizations	සංවිධාන
knowledge	දැනුම
concept	සංකල්පය
taught	උගන්වන
defeat	පරාජය
leaders	නායකයන්
ordered	නියෝග
image	රූපය
f	වි
disease	රෝගය
planning	සැලසුම්
performances	රංගනයන්
votes	මන්ත්‍රීධූර
something	දෙයක් ඒ
seats	ආසන
internet	අන්තර්ජාලය
classes	පන්ති
problem	ගැටළුව
literary	සාහිත්‍ය
chosen	තෝරාගෙන
animals	සතුන්
says	කියන නම්
billion	බිලියන
risk	අවදානම
secret	රහස්
want	ඒත් ඉතින් එහෙම
vehicles	වාහන
et	බව ද පවසයි
completely	සම්පූර්ණයෙන්
arrested	අත්අඩංගුවට
simple	සරල
citizens	පුරවැසියන්
aged	වයස
trees	ගස්
weight	බර
sexual	ලිංගික
needs	අවශ්‍යතා
parliament	පාර්ලිමේන්තුවේ
400	200
communication	සන්නිවේදනය
lawyer	නීතිඥයකු
necessary	අවශ්‍ය
PP	විශ්වකෝෂය
maximum	උපරිම
investigation	විමර්ශනය
actions	ක්‍රියාවන්
fuel	ඉන්ධන
weapons	අවි
scenes	ජවනිකා
violence	හිංසනය
heritage	උරුමයක්
identity	අනන්‍යතාවය
serious	බරපතල
regarding	සම්බන්ධව
employees	සේවකයින්
investment	ආයෝජනය
patients	රෝගීන්
homes	නිවාස
candidates	අපේක්ෂකයන්
decades	දශක
teachers	ගුරුවරුන්
save	බේරාගන්න
trying	උත්සාහ
persons	පුද්ගලයන්
passengers	මගීන්
really	නම් ඒත්
rooms	කාමර
strength	ශක්තිය
task	කාර්යය
ethnic	වාර්ගික
novels	නවකතා
statement	ප්‍රකාශය
insurance	රක්ෂණ
demand	ඉල්ලුම
flowers	මල් මල් මල්
membership	සාමාජිකත්වය
trip	චාරිකාවක්
object	වස්තුවක්
documents	ලියවිලි
understanding	අවබෝධය
affected	නිසා පීඩාවට
pages	පිටු
sisters	සොයුරියන්
parliamentary	පාර්ලිමේන්තු
responsibility	වගකීම
request	ඉල්ලීම
duties	රාජකාරි
mental	මානසික
scholars	විද්වතුන්
storage	ගබඩා
extremely	නිසා ඉතා
questions	මේ ප්‍රශ්න
attorney	නීතිඥවරයකු
temporary	තාවකාලික
severe	දරුණු
interested	උනන්දු
popularity	ජනප්‍රියත්වයක්
tall	උස
filled	පුරවා
message	පණිවිඩය
L	විමල්
celebrated	සමරන
employment	රැකියා
prepared	පිළියෙළ
rejected	ප්‍රතික්ෂේප
phone	දුරකථන
newspapers	පුවත්පත්
slow	මන්දගාමී
speak	කතාකරන
prisoners	සිරකරුවන්
somewhat	තරමක්
solar	සූර්ය
opinion	මතය නම්
criticized	විවේචනයට
anything	ඒත් ඒ දේවල්
videos	වීඩියෝ
principles	මූලධර්ම
patient	රෝගියා
lists	ලැයිස්තුවක්
meetings	රැස්වීම්
technologies	තාක්ෂණයන්
illegal	නීතිවිරෝධී
120	50
injuries	තුවාල
boats	බෝට්ටු
trading	ගණුදෙනු
everyone	හැමෝම ඒ
horror	හොල්මන්
scientists	විද්‍යාඥයන්
monthly	මාසික
benefits	ප්‍රතිලාභ
600	300
struggle	අරගලය
photographs	ඡායාරූප
Islam	ඉස්ලාම්
choose	තෝරාගන්න
hunting	දඩයම්
kids	නංගිලා
protest	උද්ඝෝෂණය
athletes	ක්‍රීඩිකාවන්
dangerous	භයානක
acres	අක්කර
physician	වෛද්‍යවරයෙකු
voters	ඡන්දදායකයන්
farmers	ගොවීන්
favorite	ප්‍රියතම
weapon	අවියක්
useful	ප්‍රයෝජනවත්
crimes	මිනීමැරුම්
belonging	අයත්
clothing	ඇඳුම්
convicted	වරදකරු
essential	අත්‍යාවශ්‍ය
Us	ඩොලර් මිලියන
opponent	ප්‍රතිවාදියා
understand	නම් තේරුම්
concerning	පිළිබඳ
topics	මාතෘකා
closer	කිට්ටුවෙන්
SR	යසස්
buses	බස්රථ
decisions	තීරණ
na	න
wearing	ඇඳගෙන
funeral	අවමඟුල්
tool	මෙවලමක්
alcohol	මත්පැන්
implemented	ක්‍රියාත්මක
discussion	සංවාදය
farming	ගොවිතැන
wrong	වැරදි නම්
clearly	පැහැදිලිව
wealthy	ධනවත්
banned	තහනම්
meat	මස්
Management	කළමණාකරණ
diplomatic	රාජ්‍යතාන්ත්‍රික
perspective	කෝණයෙන්
Muslims	මුස්ලිම්වරුන්
diseases	රෝග
sword	කඩුවක්
dreams	මේ සිහින
strange	මේ අමුතු
correct	නිවැරදි
tons	ටොන්
feeling	ඒ හැඟීම
permission	අවසරය
friendship	මිත්‍රත්වය
prices	මිල
employee	සේවකයෙක්
interpretation	අර්ථකථනය
protests	උද්ඝෝෂණ
professionals	වෘත්තිකයන්
increases	වැඩිවීම
customer	ගනුදෙනුකරුවන්ගේ
Development	සංවර්ධන හා
teach	උගන්වනවා
Comics	»
oh	ලඟදිම
wider	පුළුල්
taxes	බදු
hear	ඇහෙනවා
dress	ඇඳුම
Palestinian	පලස්තීන
banking	බැංකු
difficulties	දුෂ්කරතා
Author	ලේඛක
enemies	සතුරන්
drinking	පානය
eat	කනවා වගේ
devil	දෙයියා
airline	ගුවන්
certificate	සහතිකය
consumption	පරිභෝජනය
readers	පාඨකයන්
Springs	දියතලාව
journalists	ජනමාධ්‍යවේදීන්
generations	පරම්පරා
lectures	දේශන
temporarily	තාවකාලිකව
clerk	ලිපිකරු
delayed	ප්‍රමාද
psychological	මනෝවිද්‍යාත්මක
efficient	කාර්යක්ෂම
imprisoned	සිරගත
concepts	සංකල්ප
citizenship	පුරවැසිභාවය
abilities	හැකියාවන්
demands	වුවමනාව
nurse	වෛද්‍යවරිය
forever	හැමදාටම
burial	භූමදාන
politicians	දේශපාලනඥයන්
Youtube	යූටියුබ්
stolen	සොරා
criteria	නිර්ණායක
commitment	කැපවීම
divorce	දික්කසාදය
suddenly	හදිසියේම
nationwide	රටපුරා
travelling	ගමන්
tomb	සොහොන්
statements	ප්‍රකාශයන්
Model	මොඩ්ල්
kilometres	කිලෝමීටර්
unions	සමිති
messages	පණිවිඩ
terrorist	ත්‍රස්ත
inches	අඟල්
ye	”“ඔව්
audiences	ප්‍රේක්ෂකයන්
skill	දක්ෂතාවය
followers	අනුගාමිකයන්
memories	මතකයන්
allegations	චෝදනා
compensation	වන්දි
investors	ආයෝජකයින්
behaviour	හැසිරීම්
philosophical	දාර්ශනික
Hart	සිරිල්
familiar	හුරුපුරුදු
repeatedly	කිහිපවරක්
signature	අස්සන
threats	තර්ජන
investigations	පරීක්ෂණ
fraud	වංචා
activists	ක්‍රියාකාරිකයන්
personally	පෞද්ගලිකවම
blog	බ්ලොග්
enjoy	අත්විඳින්න
Google	ගූගල්
compounds	සංයෝග
intent	අරමුණක්
easier	පහසු
attitude	ආකල්පය
hydrogen	හයිඩ්‍රජන්
Casey	නික්
bicycle	පාපැදිය
constantly	නිරතුරුවම
proposals	යෝජනා
breast	පියයුරු
cyclist	ශූරයා
Ahmad	අබ්දුල්
q	ත
imposed	පනවන
reactions	ප්‍රතික්‍රියා
consumers	පාරිභෝගිකයන්
Silva	රාමනායක
incidents	සිද්ධීන්
excess	අධික
valid	වලංගු
accordance	අනුකූලව
repairs	අලුත්වැඩියා
discussions	සාකච්ඡා
collapsed	කඩා
remarkable	සුවිශේෂ
Theater	තියටර්
Express	එක්ස්ප්‍රස්
Les	‘පුංචි
fossil	ෆොසිල
agreements	එකඟතා
BCE	පූ
Sidney	නිහාල්
everyday	එදිනෙදා
learns	දැනගත්
cameras	කැමරා
treasure	නිධානයක්
bread	රොටි
payments	ගෙවීම්
responsibilities	වගකීම්
Coleman	ප්‍රනාන්දු
careers	ක්ෂේත්‍රයේ
Stan	ඉන්දරේ
facts	කරුණු
particles	අංශු
angry	කේන්තියෙන්
bombs	බෝම්බ
shoes	සපත්තු
loans	ණය මුදල්
flies	පියඹා
introducing	හඳුන්වාදීම
objectives	ඉලක්කයන්
Catholics	කතෝලිකයන්
custody	භාරයේ
intelligent	බුද්ධිමත්
Davidson	මොරිස්
rescued	බේරාගෙන
flowing	ගලා
Authority	අධිකාරිය
explanation	නම් පැහැදිලි
Hammond	වින්සන්ට්
sectors	ක්ෂේත්‍රයන්
rent	කුලිය
websites	වෙබ්
CIA	සීඅයිඒ
continuously	නොකඩවා
Buddhism	බුදුදහම
busy	කාර්යබහුල
jumping	පැනීම
depends	රඳා
abortion	ගබ්සාව
filmmaker	සිනමාකරුවෙක්
searching	සොයමින්
complaints	පැමිණිලි
translations	පරිවර්තන
rulers	රජවරුන්
physicians	වෛද්‍යවරුන්
obtaining	ලබාගැනීම
coloured	පාට
Carey	ජෝන්
respond	ප‍්‍රතිචාර
attractive	ආකර්ෂණීය
demon	යක්ෂයා
arguments	තර්ක
Facebook	ෆේස්බුක්
trapped	අතරමං
Wildlife	වනජීවී
speeds	වේගය
Dubai	ඩුබායි
Services	හා සේවා
peaceful	සාමකාමී
Embassy	තානාපති
torture	වධහිංසා
disputes	ආරවුල්
enabling	හැකිවන
funny	මේක කියවනකොට මට
smoking	දුම්පානය
115	43
euro	යූරෝ
requests	ඉල්ලීම්
molecules	අණු
teenager	තරුණයා
hiding	සැඟවී
luck	ඒ වාසනාව
chocolate	චොකලට්
organisms	ජීවීන්
Willis	රොබට්
Gandhi	ගාන්ධි
fake	බොරු
whenever	ඒ නිසා නිතරම
Travis	මලින්ද
beings	අමනුෂ්‍යයන්
eliminate	නැතිකරන්න
lovers	පෙම්වතුන්
anonymous	නිර්නාමික
submarines	සබ්මැරීන
reasonable	සාධාරණ
rectangular	හතරැස්
Buddha	බුදුන් වහන්සේ
Clifford	ලැනරෝල්
spectators	නරඹන්නන්
Marvel	ඇල්කෙමියාගේ
sworn	දිව්රුම්
Sanskrit	සංස්කෘත
publicity	ප්‍රචාරයක්
identifying	හඳුනාගැනීම
Conservation	සංරක්ෂණ
bullet	උණ්ඩයක්
happiness	සතුට
planets	ග්‍රහලෝක
utilized	යොදාගෙන
myth	මිත්‍යාවක්
profits	ලාභය
teachings	ඉගැන්වීම්
Protection	ආරක්ෂණ
cement	සිමෙන්ති
email	ඊමේල්
Mick	අල්විස්
chemicals	රසායනික
proud	අපි ආඩම්බර
knife	පිහියක්
revenues	ආදායම
Sanders	ජයසූරිය
conservatives	එජාපය
gambling	සූදුව
Lopez	ලිට්ල්
mistake	වැරැද්දක්
disabilities	ආබාධිතයන්
qualities	ගුණාංග
reviewer	විචාරයක්
commands	විධානය
violations	කඩකිරීම්
agenda	යෝජනාවලියක්
Sheikh	අල්
Randall	කොස්තා
distances	දුර
anger	කෝපය
patents	පේටන්ට්
presidents	ජනාධිපතිවරුන්
shapes	හැඩතල
deeper	ගැඹුරු
vegetables	එළවළු
Simmons	ජෝන්ස්
holidays	නිවාඩු
Abdullah	අබ්දුල්ලා
professors	මහාචාර්යවරුන්
cow	හරක්
choices	තෝරාගැනීම්
villagers	ගම්වැසියන්
rope	කඹය
cartoons	කාටුන්
Angelo	මිලාන්
probability	සම්භාවිතාව
Irene	දමයන්ති
lengthy	දීර්ඝ
rely	යැපෙන්නේ
emotions	ඒ හැඟීම්
eaten	ආහාරයට
ingredients	රසකාරක
abbot	ස්වාමීන් වහන්සේ
Rodney	ප්‍රියන්ත
Horace	ගුණසිංහ
Nina	ප්‍රියදර්ශනී
spokesman	නිවේදනයක්
unexpected	අනපේක්ෂිත
Sandra	මාලනී
discussing	මේ කතාබහ
resistant	ප්‍රතිරෝධී
strengthen	ශක්තිමත්
complaint	පැමිණිල්ලක්
tasked	භාරදූර
visa	වීසා
Lankan	ශ්‍රී ලංකාවේ ඉන්දීය
ambitious	දැක්මකින්
surprised	පුදුමයට
bits	එක එක සයිස්
marched	පෙළපාලිය
drunk	බීලා
stuck	හිරවෙලා
Darren	දිල්ෂාන්
barely	යන්තමින්
Trump	ට්‍රම්ප්
Lauren	මේනකා
fingers	ඇගිලි
treatments	ප්‍රතිකර්ම
rental	කුළියට
resolve	නිරාකරණය
phenomena	සංසිද්ධි
sexually	ලිංගිකව
listeners	අසන්නන්
whereby	ක්‍රමයකට
Elliot	ප්‍රින්ස්
heated	උණුසුම්ව
tumor	පිළිකාවක්
criminals	අපරාධකරුවන්
firearms	තුවක්කු
phones	ජංගම
comfortable	සුවපහසු
perspectives	මානයන්
instant	ක්ෂණික
imagination	පරිකල්පනය
Jennings	ලෙස්ලි
Reginald	ජයසිංහ
advertisements	දැන්වීම්
wa	යි ද
Stephanie	නිශාන්ති
U	වීමු
Raiders	නන්දිමිත්‍ර
labeled	ලේබල්
deliberately	හිතාමතාම
successes	ජයග්‍රහණ
Economics	ආර්ථික විද්‍යාව හා
stance	ස්ථාවරය
neighbors	අසල්වැසියන්
correctly	නිවැරදිව
seated	අසුන්ගෙන
yo	ති
gymnastics	ජිම්නාස්ටික්
cake	කේක්
Lester	අමරසේන
doll	බෝනික්කා
drinks	බීම
sexuality	ලිංගිකත්වය
ambulance	ගිලන්
nurses	හෙදියන්
dances	නැටුමක්
purely	එය හුදු
debates	විවාද
Baxter	සයිමන්
Gazette	ඔබ්සවර්
Northampton	මාදම්පේ
exports	අපනයනය
storms	කුණාටු
116	44
detained	අත්අඩංගුවේ
AWARD	සම්මානයක්‌
Natalie	සඳමාලි
ink	කඩදාසිය
traits	ලක්ෂණ
floods	ගංවතුර
humorous	උපහාසාත්මක
updates	යාවත්කාල
poetic	කාව්‍යමය
Wolfe	ලීලාරත්න
compulsory	අනිවාර්ය
inflation	උද්ධමනය
VA	මහීපාල
permits	බලපත්‍ර
Geoff	රුක්ෂාන්
teens	වයසේ
picks	එක එක්කෙනාට
factions	සන්ධානයක්
calcium	කැල්සියම්
Esther	මංගලිකා
observers	නිරීක්ෂකයන්
gasoline	පෙට්‍රල්
balanced	සමබර
unanimously	ඒකමතිකව
logical	තර්කානුකූල
variables	විචල්‍ය
destiny	දෛවය
Nichols	රූපසිංහ
Liberation	අරගලයේ
assessed	තක්සේරු
Schneider	මාර්ක්
Gavin	ශාන්
creativity	නිර්මාණශීලීත්වය
infections	ආසාදන
meditation	භාවනා
Shawn	චතුරංග
Audio	ඕඩියෝ
suffrage	සර්වජන
censorship	වාරණය
Bonnie	අපර්ණා
Leonardo	ලියනාඩෝ
prostitution	ගණිකා
verdict	තීන්දුව
thief	හොරෙක්
meals	කෑම වේලක්
investigators	විමර්ශනවලින්
inform	දැනුවත්
contests	තරඟ
chairs	පුටු
postponed	නියමිතව
habit	පුරුද්ද නිසා
qualifications	සුදුසුකම්
Frankie	ශ්‍රීමාල්
activism	ව්‍යාපාරයන්
privileges	වරප්‍රසාද
jacket	කැප්
beloved	ඒ ආදරණීය
diamonds	දියමන්ති
discourse	කතිකාව
globally	ලෝකයේම
appointments	තනතුරු
Liz	රන්දිල්
unconscious	සිහිසුන්ව
transparent	විනිවිද
stairs	තරප්පු
obligations	කොන්දේසි
nitrogen	නයිට්‍රජන්
Frost	බෙන්ජමින්
bollywood	බොලිවුඩ්
amendments	සංශෝධන
Peace	සාම
inability	නොහැකියාව නිසා
bent	නවා
breath	හුස්ම
fertile	සාරවත්
homosexuality	සමලිංගිකත්වය
wrapped	ඔතා
im	“මේක
filmmakers	සිනමාකරුවන්
explosives	පුපුරණ
readings	දෙසුම්
000	000
homosexual	සමලිංගික
violated	උල්ලංඝනය
heroic	වීර
cinematography	කැමරාකරණය
Vanessa	කාංචනා
adaptations	අනුවර්තනය
Middleton	දැරණියගල
harassment	අඩන්තේට්ටම්
advertisement	දැන්වීමක්
respiratory	ශ්වසන
dad	මම තාත්තා
feathers	පිහාටු
discoveries	සොයාගැනීම්
tragic	අවාසනාවන්ත
everywhere	හැමතැනම
Lumpur	මැලේසියාවේ
nationalism	ජාතිකවාදය
packages	පැකේජ
brakes	තිරිංග
proportional	සමානුපාතික
surplus	අතිරික්ත
